ID	ref_short	DOI	reference	lat	long	locality	country	BrazilState	DO	marked	LT	herbarium	feces	ground.survey	species	Nindiv	Ntraps	trapsurface	studylength	frequency	peak	vegetation	biome	trees	shrubs	herbs	liana	others
1	Alencar 1979		Alencar, J. C., Almeida, R. A and Fernandes, N. P. (1979). Fenologia de espécies florestais em floresta tropical úmida de terra firme na Amazônia Central. Acta Amazonica 1: 63-97.	-2.916667	-59.883333	Reserva Ducke, AM	Brazil	Amazonas	yes	marked	no	no	no	no	27	81	NA	NA	480	monthly	rainy season	rainforest	1	yes	no	no	no	no
2	Amorim et al 2009	10.1590/S0100-67622009000300011	Amorim, I. L., Sampaio, E. V. S. B. and Araújo, E. L. (2009). Phenology of woody species in the caatinga of Seridó, RN, Brazil. Revista Árvore 33(3): 491-499.	-6.583333	-37.333333	Serido Ecological Station	Brazil	Rio Grande do Norte	yes	marked	no	no	no	no	13	130	NA	NA	24	biweekly	rainy season	desert and xeric shrublands	13	yes	yes	no	no	no
3	Arbelaez & Parrado-Rosselli 2005	10.1111/j.1744-7429.2005.03077.x	Arbeláez, M. V. and Parrado-Rosselli, A. (2005). Seed dispersal modes of the sandstone plateau vegetation of the middle Caquetá river region, Colombian Amazonia. Biotropica 37(1): 64-72.	-0.489	-72.361	Caqueta River 	Colombia	NA	yes	unmarked	no	yes	no	no	267	445.2	NA	NA	48	sporadic	dry season	rainforest	1	yes	yes	yes	yes	treelets
4	Ayres 1986	Thesis	Ayres, M. (1986). Uakaris and Amazonian Flooded Forests. Veterinary Anatomy PhD. University of Cambridge, Cambridge. 338 pp.	-2.969	-64.911	Mamiraua	Brazil	Amazonas	yes	marked	no	no	no	no	174	996	NA	NA	17	monthly	rainy season	seasonally flooded forests	1	yes	no	no	no	no
5	Baider 2002	Thesis	Baider, C. (2002). Demografia e ecologia de dispersão de frutos de Bertholletia excelsa Humb. & Bonpl. (Lecythidaceae) em castanhais silvestres da Amazônia Oriental.  PhD. University of São Paulo, São Paulo. 231 pp.	-7.766667	-51.95	Pinkaití	Brazil	Para	yes	marked	no	no	no	no	98	500	NA	NA	24	monthly	transition dry to wet season	rainforest	1	yes	no	no	no	no
6	Barbosa et al.  1989		Barbosa, D. C. A., Alves, J. L. H., Prazeres, S. M. and Paiva, A. M. A. (1989). Phenological studies were carried out on 10 tree species of economical value occurring in a caatinga area (Alagoinha-PE). Acta Botanica Brasilica 3(2): 109-117.	-8.468056	-36.734167	Alagoinha	Brazil	Pernambuco	yes	marked	no	no	no	no	10	30	NA	NA	12	monthly	rainy season	desert and xeric shrublands	13					
7	Barlow & Peres 2006		Barlow, J. and Peres, C. A. (2006). Effects of single and recurrent wildfires on fruit production and large vertebrate abundance in a central Amazonian forest. Biodiversity and Conservation 15(3): 985-1012.	-2.733333	-55.683333	Tapajos, Rio Maro	Brazil	Para	yes	unmarked	no	no	no	yes	10	NA	NA	NA	12	monthly	rainy season	rainforest	1	yes	no	no	no	no
8	Barlow et al 2007	10.1016/j.foreco.2007.04.017	Barlow, J., Gardner, T. A., Ferreira, L. V. and Peres, C. A. (2007). Litter fall and decomposition in primary, secondary and plantation forests in the Brazilian Amazon. Forest Ecology and Management 247(1-3): 91-97.	-0.746389	-52.649722	Jari, primary forest	Brazil	Amapa	no		yes	no	no	no	150	NA	300	0.25	14	monthly	rainy season	rainforest	1	yes	yes	indet.	yes	yes
9	Barnett 2010		Barnett, AA (2010). Diet, habitat use and conservation ecology of the golden-backed uacari, Cacajao melanocephalus ouakary, in Jaú National Park, Amazonian Brazil.  PhD. Roehampton University, London. 	1.883889	-61.673333	Igapo	Brazil	Roraima	yes	marked	no	no	no	no	89	1416	NA	NA	25	monthly	non-available	seasonally flooded forests	1	yes	no	no	no	no
10	Barnett 2010		Barnett, AA (2010). Diet, habitat use and conservation ecology of the golden-backed uacari, Cacajao melanocephalus ouakary, in Jaú National Park, Amazonian Brazil.  PhD. Roehampton University, London. 	1.883889	-61.673333	Borocoto	Brazil	Roraima	yes	marked	no	no	no	no	127	214	NA	NA	25	monthly	non-available	seasonally flooded forests	1					
