YEAR	pheno
2015	2120
2014	2037
2013	1843
2012	1727
2011	1539
2010	1388
2009	1283
2008	1157
2007	972
2006	920
2005	827
2004	642
2003	661
2002	641
2001	578
2000	553
1999	607
1998	523
1997	549
1996	460
1995	276
1994	222
1993	225
1992	216
1991	221
1990	224
1989	201
1988	161
1987	133
1986	125
1985	134
1984	126
1983	100
1982	95
1981	75
1980	63
1979	32
1978	38
1977	20
1976	29
1975	18
1974	17
1973	15
1972	9
1971	6
1970	9
1969	6
1968	6
1967	7
1966	6
1965	9
1964	5
1963	5
1962	5
1961	2
1960	4
1959	6
1958	1
1957	6
1956	3
1955	4
1954	3
1953	2
1952	2
1951	0
1950	2
1949	2
1948	0
1947	0
1946	0
1945	0
1944	0
1943	0
1942	1
1941	1
1940	2
1939	3
1938	0
1937	0
1936	0
1935	1
1934	1
1933	1
1932	1
1931	3
1930	1
1929	2
1928	1
1927	1
1926	6
1925	2
1924	3
1923	3
1922	2
1921	2
1920	2
1919	0
1918	0
1917	0
1916	0
1915	0
1914	0
1913	0
1912	0
1911	2
1910	0
1909	0
1908	0
1907	0
1906	0
1905	0
1904	0
1903	2
1902	1
1901	1
1900	1
1899	1
1898	1
1897	1
1896	1
1895	1
1894	1
1893	1
1892	1
1891	1
1890	1
1889	1
1888	1
1887	1
1886	1
1885	1
1884	1
1883	1
1882	3
1881	1
1880	1
1879	1
