YEAR	totalpub
2015	81943
2014	84863
2013	80835
2012	77688
2011	73421
2010	69123
2009	63411
2008	58735
2007	55154
2006	51615
2005	48046
2004	42667
2003	38497
2002	35091
2001	33216
2000	30497
1999	29079
1998	26327
1997	24943
1996	23341
1995	18525
1994	16970
1993	15829
1992	14103
1991	13471
1990	12531
1989	11395
1988	9790
1987	9956
1986	10477
1985	10256
1984	10272
1983	8766
1982	8442
1981	7471
1980	7095
1979	6998
1978	5971
1977	4963
1976	4693
1975	4608
1974	4481
1973	3969
1972	2938
1971	2504
1970	2286
1969	2049
1968	1826
1967	1690
1966	1299
1965	1165
1964	1167
1963	769
1962	552
1961	459
1960	420
1959	471
1958	420
1957	422
1956	368
1955	366
1954	386
1953	361
1952	390
1951	490
1950	363
1949	218
1948	210
1947	206
1946	163
1945	105
1944	51
1943	37
1942	45
1941	46
1940	55
1939	67
1938	71
1937	46
1936	46
1935	73
1934	59
1933	55
1932	67
1931	71
1930	58
1929	61
1928	55
1927	53
1926	56
1925	73
1924	58
1923	54
1922	78
1921	43
1920	25
1919	19
1918	20
1917	40
1916	28
1915	29
1914	24
1913	23
1912	21
1911	28
1910	34
1909	26
1908	21
1907	20
1906	23
1905	27
1904	35
1903	15
1902	33
1901	11
1900	16
1899	16
1898	15
1897	19
1896	21
1895	24
1894	15
1893	11
1892	9
1891	11
1890	4
1889	6
1888	12
1887	6
1886	18
1885	10
1884	23
1883	10
1882	5
1881	10
1880	8
1879	6
1878	6
1877	10
1876	4
1875	1
1874	4
1873	6
1872	1
1871	2
1870	5
1869	0
1868	1
1867	0
1866	0
1865	1
1864	0
1863	3
1862	0
1861	0
1860	0
1859	3
1858	2
1857	0
1856	1
1855	0
1854	0
1853	1
1852	1
1851	0
1850	0
1849	1
1848	3
1847	1
1846	1
1845	1
1844	1
