ECO_ID	eco_id2	eco_name	area	sp_wfig	sp_range	data_sit	comments
10101	AA0101	Admiralty Islands lowland rain forests	2108	2000	1600-2800	3	
10102	AA0102	Banda Sea Islands moist deciduous forests	7528	1200	1200-2000	3	
10103	AA0103	Biak-Numfoor rain forests	2822	1500	1000-2200	3	
10104	AA0104	Buru rain forests	8624	1700	1000-2200	3	
10105	AA0105	Central Range montane rain forests	171992	7500	6000-9000	2	
10106	AA0106	Halmahera rain forests	26865	2000	1600-2400	3	
10107	AA0107	Huon Peninsula montane rain forests	16522	5500	4500-7000	2	
10108	AA0108	Japen rain forests	2418	1500	1000-2000	3	
10109	AA0109	Lord Howe Island subtropical forests	14	210	200-219	1	
10110	AA0110	Louisiade Archipelago rain forests	1615	3200	3000-4000	2	
10111	AA0111	New Britain-New Ireland lowland rain forests	35070	2700	2000-5000	3	
10112	AA0112	New Britain-New Ireland montane rain forests	12134	2500	2300-3500	3	
10113	AA0113	New Caledonia rain forests	14564	3000	2900-3100	2	
10114	AA0114	Norfolk Island subtropical forests	42	165	x	1	
10115	AA0115	Northern New Guinea lowland rain and freshwater swamp forests	135241	4400	3500-5300	3	
10116	AA0116	Northern New Guinea montane rain forests	23288	3000	2500-4000	3	
10117	AA0117	Queensland tropical rain forests	32695	4800	4700-5500	2	
10118	AA0118	Seram rain forests	19363	2100	2000-2500	2	
10119	AA0119	Solomon Islands rain forests	35851	4800	4400-5200	2	
10120	AA0120	Southeastern Papuan rain forests	77360	5500	4500-7000	2	
10121	AA0121	Southern New Guinea freshwater swamp forests	99927	2100	1600-2600	3	
10122	AA0122	Southern New Guinea lowland rain forests	122874	4000	3000-5000	2	
10123	AA0123	Sulawesi lowland rain forests	116329	3900	3000-4300	3	
10124	AA0124	Sulawesi montane rain forests	75814	2200	2000-3500	3	
10125	AA0125	Trobriand Islands rain forests	4196	2800	2600-3500	3	
10126	AA0126	Vanuatu rain forests	13204	950	870-1050	2	
10127	AA0127	Vogelkop montane rain forests	21950	5500	4500-6500	3	
10128	AA0128	Vogelkop-Aru lowland rain forests	77409	3500	3000-5500	3	
10201	AA0201	Lesser Sundas deciduous forests	39447	2500	1500-3500	3	
10202	AA0202	New Caledonia dry forests	4420	430	409-450	1	
10203	AA0203	Sumba deciduous forests	10765	900	800-1400	3	
10204	AA0204	Timor and Wetar deciduous forests	33524	1600	1400-2000	3	
10401	AA0401	Chatham Island temperate forests	804	315	x	1	
10402	AA0402	Eastern Australian temperate forests	222061	3700	3300-4500	3	
10403	AA0403	Fiordland temperate forests	11029	750	600-900	3	
10404	AA0404	Nelson Coast temperate forests	14575	1300	1250-1350	2	
10405	AA0405	Northland temperate forests	84423	1200	1100-1300	2	
10406	AA0406	Northland temperate kauri forests	29930	850	800-900	2	
10407	AA0407	Rakiura Island temperate forests	1690	570	567-580	1	
10408	AA0408	Richmond temperate forests	13196	1000	800-1200	2	
10409	AA0409	Southeast Australia temperate forests	272312	2400	1700-3200	3	
10410	AA0410	Southland temperate forests	11684	650	600-800	3	
10411	AA0411	Tasmanian Central Highland forests	18701	700	500-900	3	
10412	AA0412	Tasmanian temperate forests	18211	600	400-800	3	
10413	AA0413	Tasmanian temperate rain forests	31266	800	600-1000	3	
10414	AA0414	Westland temperate forests	5277	700	500-900	3	
10701	AA0701	Arnhem Land tropical savanna	158118	2500	2200-3000	2	
10702	AA0702	Brigalow tropical savanna	342315	1600	1200-2000	3	
10703	AA0703	Cape York tropical savanna	116333	3100	2900-3200	2	
10704	AA0704	Carpentaria tropical savanna	359650	1600	1200-2100	4	
10705	AA0705	Einasleigh upland savanna	128475	1600	1200-2000	4	
10706	AA0706	Kimberley tropical savanna	347852	2000	1800-2200	2	
10707	AA0707	Mitchell grass downs	460746	900	500-1300	4	
10708	AA0708	Trans Fly savanna and grasslands	26731	2200	1000-3000	3	
10709	AA0709	Victoria Plains tropical savanna	225637	1200	800-1800	3	
10801	AA0801	Cantebury-Otago tussock grasslands	53478	800	650-900	3	
10802	AA0802	Eastern Australia mulga shrublands	253916	800	700-1100	2	
10803	AA0803	Southeast Australia temperate savanna	322226	900	600-1300	4	
11001	AA1001	Australian Alps montane grasslands	11995	1000	700-1500	3	
11002	AA1002	Central Range sub-alpine grasslands	15571	1800	1500-2500	3	
11003	AA1003	Southland montane grasslands	39929	850	750-950	3	
11101	AA1101	Antipodes Subantarctic Islands tundra	1679	240	220-250	1	
11201	AA1201	Coolgardie woodlands	137375	1800	1400-2200	3	
11202	AA1202	Esperance mallee	115514	2900	2600-3300	3	
11203	AA1203	Eyre and York mallee	60923	2000	1500-2500	4	
11204	AA1204	Jarrah-Karri forest and shrublands	10445	2200	1800-2600	2	
11205	AA1205	Kwongan heathlands (Swan Coastal Plain Scrub and Woodlands)	15227	2300	2000-2600	2	
11206	AA1206	Mount Lofty woodlands	23785	2000	1500-2500	2	
11207	AA1207	Murray-Darling woodlands and mallee	197923	1100	600-1600	3	
11208	AA1208	Naracoorte woodlands	27509	1500	1000-2000	4	
11209	AA1209	Southwest Australia savanna	168896	1900	1500-2300	3	
11210	AA1210	Southwest Australia woodlands	46045	2000	1600-2400	3	
11301	AA1301	Carnarvon xeric shrublands	90487	700	400-1000	4	
11302	AA1302	Central Ranges xeric scrub	281669	1400	1300-1500	2	
11303	AA1303	Gibson desert	155870	400	200-600	4	
11304	AA1304	Great Sandy-Tanami desert	823008	500	400-600	2	
11305	AA1305	Great Victoria desert	424354	400	200-600	3	
11306	AA1306	Nullarbor Plains xeric shrublands	195200	200	120-300	3	
11307	AA1307	Pilbara shrublands	179779	800	500-1200	4	
11308	AA1308	Simpson desert	584499	800	500-1100	3	
11309	AA1309	Tirari-Sturt stony desert	376890	800	500-1100	3	
